symbol,factor,buy_param,sell_param,fee_,CAGR,Accumulated return,Average return,Benchmark return,Number of trades,Number of win,Hit ratio,Investment period,Sharpe ratio,MDD,Benchmark MDD
AMZN,slow_k,11,67,0.001,-0.0342,-0.158,-0.0095,0.4582,13.0,7.0,0.5385,4.9,-0.22,-0.39649999999999996,-0.5615
AMZN,slow_k,11,68,0.001,-0.0315,-0.146,-0.0084,0.4582,13.0,7.0,0.5385,4.9,-0.21,-0.39649999999999996,-0.5615
AMZN,slow_k,11,69,0.001,-0.0315,-0.146,-0.0084,0.4582,13.0,7.0,0.5385,4.9,-0.21,-0.39649999999999996,-0.5615
AMZN,slow_k,11,70,0.001,-0.0315,-0.146,-0.0084,0.4582,13.0,7.0,0.5385,4.9,-0.21,-0.39649999999999996,-0.5615
AMZN,slow_k,11,71,0.001,-0.0315,-0.146,-0.0084,0.4582,13.0,7.0,0.5385,4.9,-0.21,-0.39649999999999996,-0.5615
AMZN,slow_k,11,72,0.001,-0.0315,-0.146,-0.0084,0.4582,13.0,7.0,0.5385,4.9,-0.21,-0.39649999999999996,-0.5615
AMZN,slow_k,11,73,0.001,-0.0315,-0.146,-0.0084,0.4582,13.0,7.0,0.5385,4.9,-0.21,-0.39649999999999996,-0.5615
AMZN,slow_k,11,74,0.001,-0.0315,-0.146,-0.0084,0.4582,13.0,7.0,0.5385,4.9,-0.21,-0.39649999999999996,-0.5615
AMZN,slow_k,11,75,0.001,-0.0225,-0.1061,-0.0048,0.4582,13.0,7.0,0.5385,4.9,-0.17,-0.3932,-0.5615
AMZN,slow_k,11,76,0.001,-0.022400000000000003,-0.1056,-0.0048,0.4582,13.0,7.0,0.5385,4.9,-0.17,-0.3932,-0.5615
AMZN,slow_k,11,77,0.001,-0.0144,-0.0689,-0.0018,0.4582,13.0,8.0,0.6154,4.9,-0.14,-0.3932,-0.5615
AMZN,slow_k,11,78,0.001,-0.0055000000000000005,-0.026699999999999998,0.0019,0.4582,13.0,8.0,0.6154,4.9,-0.1,-0.3932,-0.5615
AMZN,slow_k,11,79,0.001,-0.0070999999999999995,-0.0344,0.0012,0.4582,13.0,9.0,0.6923,4.9,-0.11,-0.3932,-0.5615
AMZN,slow_k,11,80,0.001,-0.0213,-0.1008,-0.0037,0.4582,13.0,9.0,0.6923,4.9,-0.15,-0.4106,-0.5615
AMZN,slow_k,11,81,0.001,-0.0213,-0.1008,-0.0037,0.4582,13.0,9.0,0.6923,4.9,-0.15,-0.4106,-0.5615
AMZN,slow_k,11,82,0.001,-0.0213,-0.1008,-0.0037,0.4582,13.0,9.0,0.6923,4.9,-0.15,-0.4106,-0.5615
AMZN,slow_k,11,83,0.001,-0.0144,-0.069,-0.0009,0.4582,13.0,9.0,0.6923,4.9,-0.12,-0.3932,-0.5615
AMZN,slow_k,11,84,0.001,-0.0074,-0.0361,0.0016,0.4582,13.0,9.0,0.6923,4.9,-0.1,-0.3932,-0.5615
AMZN,slow_k,11,85,0.001,-0.005,-0.024300000000000002,0.0024,0.4582,13.0,9.0,0.6923,4.9,-0.09,-0.3858,-0.5615
AMZN,slow_k,11,86,0.001,-0.005,-0.024300000000000002,0.0024,0.4582,13.0,9.0,0.6923,4.9,-0.09,-0.3858,-0.5615
AMZN,slow_k,11,87,0.001,0.0032,0.016,0.005600000000000001,0.4582,13.0,9.0,0.6923,4.9,-0.06,-0.3858,-0.5615
AMZN,slow_k,11,88,0.001,-0.0471,-0.212,-0.011200000000000002,0.4582,12.0,8.0,0.6667000000000001,4.9,-0.23,-0.5299,-0.5615
AMZN,slow_k,11,89,0.001,-0.042199999999999994,-0.1916,-0.0089,0.4582,12.0,8.0,0.6667000000000001,4.9,-0.21,-0.5299,-0.5615
AMZN,slow_k,11,90,0.001,-0.0716,-0.3071,-0.024900000000000002,0.4582,11.0,7.0,0.6364,4.9,-0.31,-0.5522,-0.5615
AMZN,slow_k,12,60,0.001,-0.0118,-0.056900000000000006,-0.0005,0.4582,18.0,12.0,0.6667000000000001,4.9,-0.13,-0.34159999999999996,-0.5615
AMZN,slow_k,12,61,0.001,-0.008199999999999999,-0.0398,0.0004,0.4582,18.0,12.0,0.6667000000000001,4.9,-0.12,-0.34159999999999996,-0.5615
AMZN,slow_k,12,62,0.001,-0.012,-0.057800000000000004,-0.0006,0.4582,18.0,12.0,0.6667000000000001,4.9,-0.13,-0.34159999999999996,-0.5615
AMZN,slow_k,12,63,0.001,-0.004699999999999999,-0.023,0.0014000000000000002,0.4582,18.0,13.0,0.7222,4.9,-0.1,-0.34159999999999996,-0.5615
AMZN,slow_k,12,64,0.001,-0.0023,-0.0113,0.0021,0.4582,18.0,13.0,0.7222,4.9,-0.09,-0.34159999999999996,-0.5615
AMZN,slow_k,12,65,0.001,-0.0194,-0.0924,-0.0031,0.4582,17.0,11.0,0.6470999999999999,4.9,-0.15,-0.35979999999999995,-0.5615
AMZN,slow_k,12,66,0.001,-0.0239,-0.11259999999999999,-0.0043,0.4582,17.0,11.0,0.6470999999999999,4.9,-0.17,-0.35979999999999995,-0.5615
AMZN,slow_k,12,67,0.001,-0.0072,-0.035,0.0009,0.4582,17.0,11.0,0.6470999999999999,4.9,-0.11,-0.3486,-0.5615
AMZN,slow_k,12,68,0.001,-0.0043,-0.0212,0.0018,0.4582,17.0,11.0,0.6470999999999999,4.9,-0.09,-0.3486,-0.5615
AMZN,slow_k,12,69,0.001,-0.0043,-0.0212,0.0018,0.4582,17.0,11.0,0.6470999999999999,4.9,-0.09,-0.3486,-0.5615
