symbol,factor,buy_param,sell_param,fee_,CAGR,Accumulated return,Average return,Benchmark return,Number of trades,Number of win,Hit ratio,Investment period,Sharpe ratio,MDD,Benchmark MDD
NVDA,slow_k,11,75,0.001,0.2266,1.7411,0.0757,14.5044,15.0,13.0,0.8667,4.9,0.7,-0.3015,-0.6636
NVDA,slow_k,11,76,0.001,0.2266,1.7411,0.0757,14.5044,15.0,13.0,0.8667,4.9,0.7,-0.3015,-0.6636
NVDA,slow_k,11,77,0.001,0.23190000000000002,1.8006,0.07690000000000001,14.5044,15.0,13.0,0.8667,4.9,0.72,-0.3015,-0.6636
NVDA,slow_k,11,78,0.001,0.2352,1.8371000000000002,0.0779,14.5044,15.0,13.0,0.8667,4.9,0.73,-0.3015,-0.6636
NVDA,slow_k,11,79,0.001,0.24350000000000002,1.9322,0.0803,14.5044,15.0,13.0,0.8667,4.9,0.76,-0.3015,-0.6636
NVDA,slow_k,11,80,0.001,0.24350000000000002,1.9322,0.0803,14.5044,15.0,13.0,0.8667,4.9,0.76,-0.3015,-0.6636
NVDA,slow_k,11,81,0.001,0.24350000000000002,1.9322,0.0803,14.5044,15.0,13.0,0.8667,4.9,0.76,-0.3015,-0.6636
NVDA,slow_k,11,82,0.001,0.2556,2.0768,0.08310000000000001,14.5044,15.0,13.0,0.8667,4.9,0.8,-0.3015,-0.6636
NVDA,slow_k,11,83,0.001,0.2713,2.2712,0.08779999999999999,14.5044,15.0,13.0,0.8667,4.9,0.85,-0.3015,-0.6636
NVDA,slow_k,11,84,0.001,0.2731,2.2943000000000002,0.0885,14.5044,15.0,13.0,0.8667,4.9,0.76,-0.3015,-0.6636
NVDA,slow_k,11,85,0.001,0.2748,2.3159,0.08929999999999999,14.5044,15.0,13.0,0.8667,4.9,0.76,-0.3015,-0.6636
NVDA,slow_k,11,86,0.001,0.2845,2.4424,0.0922,14.5044,15.0,13.0,0.8667,4.9,0.79,-0.3015,-0.6636
NVDA,slow_k,11,87,0.001,0.2783,2.3602000000000003,0.0907,14.5044,15.0,13.0,0.8667,4.9,0.77,-0.3015,-0.6636
NVDA,slow_k,11,88,0.001,0.26039999999999996,2.1347,0.0858,14.5044,15.0,13.0,0.8667,4.9,0.67,-0.3015,-0.6636
NVDA,slow_k,11,89,0.001,0.1233,0.7753,0.0557,14.5044,12.0,10.0,0.8332999999999999,4.9,0.27,-0.4397,-0.6636
NVDA,slow_k,11,90,0.001,0.1233,0.7753,0.0557,14.5044,12.0,10.0,0.8332999999999999,4.9,0.27,-0.4397,-0.6636
NVDA,slow_k,12,60,0.001,0.1941,1.4009,0.057300000000000004,14.5044,17.0,15.0,0.8824,4.9,0.61,-0.3103,-0.6636
NVDA,slow_k,12,61,0.001,0.1941,1.4009,0.057300000000000004,14.5044,17.0,15.0,0.8824,4.9,0.61,-0.3103,-0.6636
NVDA,slow_k,12,62,0.001,0.204,1.5002000000000002,0.059800000000000006,14.5044,17.0,15.0,0.8824,4.9,0.64,-0.3103,-0.6636
NVDA,slow_k,12,63,0.001,0.1945,1.4044999999999999,0.0572,14.5044,17.0,15.0,0.8824,4.9,0.6,-0.3103,-0.6636
NVDA,slow_k,12,64,0.001,0.1895,1.3559,0.0559,14.5044,17.0,15.0,0.8824,4.9,0.58,-0.3103,-0.6636
NVDA,slow_k,12,65,0.001,0.1931,1.3906,0.056900000000000006,14.5044,17.0,15.0,0.8824,4.9,0.6,-0.3103,-0.6636
NVDA,slow_k,12,66,0.001,0.19699999999999998,1.4299000000000002,0.0579,14.5044,17.0,15.0,0.8824,4.9,0.61,-0.3103,-0.6636
NVDA,slow_k,12,67,0.001,0.19699999999999998,1.4299000000000002,0.0579,14.5044,17.0,15.0,0.8824,4.9,0.61,-0.3103,-0.6636
NVDA,slow_k,12,68,0.001,0.19190000000000002,1.3792,0.0567,14.5044,17.0,15.0,0.8824,4.9,0.59,-0.3103,-0.6636
NVDA,slow_k,12,69,0.001,0.2061,1.5218,0.0604,14.5044,17.0,15.0,0.8824,4.9,0.64,-0.3103,-0.6636
NVDA,slow_k,12,70,0.001,0.2114,1.5778999999999999,0.0621,14.5044,17.0,15.0,0.8824,4.9,0.65,-0.3103,-0.6636
NVDA,slow_k,12,71,0.001,0.2266,1.7409999999999999,0.0662,14.5044,17.0,15.0,0.8824,4.9,0.7,-0.3103,-0.6636
NVDA,slow_k,12,72,0.001,0.2741,2.3063,0.0785,14.5044,17.0,15.0,0.8824,4.9,0.85,-0.3015,-0.6636
NVDA,slow_k,12,73,0.001,0.27690000000000003,2.3432,0.07919999999999999,14.5044,17.0,15.0,0.8824,4.9,0.86,-0.3015,-0.6636
NVDA,slow_k,12,74,0.001,0.27690000000000003,2.3432,0.07919999999999999,14.5044,17.0,15.0,0.8824,4.9,0.86,-0.3015,-0.6636
NVDA,slow_k,12,75,0.001,0.2857,2.458,0.0814,14.5044,17.0,15.0,0.8824,4.9,0.88,-0.3015,-0.6636
NVDA,slow_k,12,76,0.001,0.2857,2.458,0.0814,14.5044,17.0,15.0,0.8824,4.9,0.88,-0.3015,-0.6636
NVDA,slow_k,12,77,0.001,0.2913,2.5331,0.0824,14.5044,17.0,15.0,0.8824,4.9,0.9,-0.3015,-0.6636
NVDA,slow_k,12,78,0.001,0.29469999999999996,2.5791000000000004,0.0833,14.5044,17.0,15.0,0.8824,4.9,0.91,-0.3015,-0.6636
NVDA,slow_k,12,79,0.001,0.3034,2.699,0.08539999999999999,14.5044,17.0,15.0,0.8824,4.9,0.94,-0.3015,-0.6636
NVDA,slow_k,12,80,0.001,0.3034,2.699,0.08539999999999999,14.5044,17.0,15.0,0.8824,4.9,0.94,-0.3015,-0.6636
NVDA,slow_k,12,81,0.001,0.3034,2.699,0.08539999999999999,14.5044,17.0,15.0,0.8824,4.9,0.94,-0.3015,-0.6636
NVDA,slow_k,12,82,0.001,0.31679999999999997,2.8912999999999998,0.08810000000000001,14.5044,17.0,15.0,0.8824,4.9,0.98,-0.3015,-0.6636
