symbol,buy_param,sell_param,fee_,CAGR,Accumulated return,Average return,Benchmark return,Number of trades,Number of win,Hit ratio,Investment period,Sharpe ratio,MDD,Benchmark MDD
AMZN,-9,8,0.001,0.1518,1.0275,1.0275,0.5905,1.0,1.0,1.0,5.0,0.42,-0.4349,-0.5615
AMZN,-9,9,0.001,0.1383,0.9116,,0.5905,1.0,0.0,0.0,5.0,0.34,-0.4349,-0.5615
AMZN,-9,10,0.001,0.1383,0.9116,,0.5905,1.0,0.0,0.0,5.0,0.34,-0.4349,-0.5615
AMZN,-8,-10,0.001,0.0754,0.4387,,0.5905,1.0,0.0,0.0,5.0,0.13,-0.5861,-0.5615
AMZN,-8,-9,0.001,0.087,0.5177,,0.5905,1.0,0.0,0.0,5.0,0.16,-0.5633,-0.5615
AMZN,-8,-8,0.001,0.042,0.2284,0.21719999999999998,0.5905,4.0,1.0,0.25,5.0,0.05,-0.6056,-0.5615
AMZN,-8,-7,0.001,0.0583,0.32780000000000004,0.07490000000000001,0.5905,4.0,4.0,1.0,5.0,0.29,-0.1057,-0.5615
AMZN,-8,-6,0.001,0.0646,0.3677,0.08220000000000001,0.5905,4.0,4.0,1.0,5.0,0.32,-0.1244,-0.5615
AMZN,-8,-5,0.001,0.0602,0.3397,0.0764,0.5905,4.0,4.0,1.0,5.0,0.29,-0.1244,-0.5615
AMZN,-8,-4,0.001,0.0143,0.07339999999999999,0.0252,0.5905,3.0,2.0,0.6667000000000001,5.0,-0.04,-0.22030000000000002,-0.5615
AMZN,-8,-3,0.001,0.0148,0.0765,0.0269,0.5905,3.0,2.0,0.6667000000000001,5.0,-0.03,-0.2198,-0.5615
AMZN,-8,-2,0.001,0.0123,0.0633,0.021400000000000002,0.5905,3.0,2.0,0.6667000000000001,5.0,-0.04,-0.2419,-0.5615
AMZN,-8,-1,0.001,0.0095,0.048600000000000004,0.0178,0.5905,3.0,1.0,0.3333,5.0,-0.05,-0.1978,-0.5615
AMZN,-8,0,0.001,0.0252,0.1325,0.044500000000000005,0.5905,3.0,2.0,0.6667000000000001,5.0,0.03,-0.1882,-0.5615
AMZN,-8,1,0.001,0.04650000000000001,0.2554,0.079,0.5905,3.0,3.0,1.0,5.0,0.13,-0.19469999999999998,-0.5615
AMZN,-8,2,0.001,0.047,0.2585,0.0802,0.5905,3.0,3.0,1.0,5.0,0.13,-0.1882,-0.5615
AMZN,-8,3,0.001,0.0827,0.4878,0.14279999999999998,0.5905,3.0,3.0,1.0,5.0,0.29,-0.1882,-0.5615
AMZN,-8,4,0.001,0.102,0.6255,0.17989999999999998,0.5905,3.0,3.0,1.0,5.0,0.37,-0.1882,-0.5615
AMZN,-8,5,0.001,0.2039,1.5308000000000002,0.4217,0.5905,3.0,3.0,1.0,5.0,0.65,-0.19640000000000002,-0.5615
AMZN,-8,6,0.001,0.2764,2.3903,0.8533,0.5905,3.0,2.0,0.6667000000000001,5.0,0.82,-0.19640000000000002,-0.5615
AMZN,-8,7,0.001,0.2894,2.5664999999999996,0.9172,0.5905,3.0,2.0,0.6667000000000001,5.0,0.85,-0.19640000000000002,-0.5615
AMZN,-8,8,0.001,0.174,1.2308,0.9989,0.5905,2.0,1.0,0.5,5.0,0.45,-0.4349,-0.5615
AMZN,-8,9,0.001,0.135,0.8845999999999999,,0.5905,1.0,0.0,0.0,5.0,0.33,-0.4349,-0.5615
AMZN,-8,10,0.001,0.135,0.8845999999999999,,0.5905,1.0,0.0,0.0,5.0,0.33,-0.4349,-0.5615
AMZN,-7,-10,0.001,0.0662,0.37810000000000005,,0.5905,1.0,0.0,0.0,5.0,0.11,-0.6035,-0.5615
AMZN,-7,-9,0.001,0.07769999999999999,0.45380000000000004,,0.5905,1.0,0.0,0.0,5.0,0.14,-0.5817,-0.5615
AMZN,-7,-8,0.001,0.0263,0.1388,0.1677,0.5905,4.0,1.0,0.25,5.0,0.02,-0.6378,-0.5615
AMZN,-7,-7,0.001,0.0281,0.1489,0.0689,0.5905,6.0,1.0,0.16670000000000001,5.0,0.02,-0.6231,-0.5615
AMZN,-7,-6,0.001,0.054000000000000006,0.30079999999999996,0.055,0.5905,5.0,4.0,0.8,5.0,0.23,-0.1734,-0.5615
AMZN,-7,-5,0.001,0.0592,0.3336,0.0605,0.5905,5.0,5.0,1.0,5.0,0.22,-0.1734,-0.5615
AMZN,-7,-4,0.001,0.0141,0.0727,0.0202,0.5905,4.0,2.0,0.5,5.0,-0.03,-0.23079999999999998,-0.5615
AMZN,-7,-3,0.001,0.0191,0.09949999999999999,0.0274,0.5905,4.0,3.0,0.75,5.0,-0.0,-0.2302,-0.5615
AMZN,-7,-2,0.001,0.0163,0.08449999999999999,0.0235,0.5905,4.0,1.0,0.25,5.0,-0.02,-0.252,-0.5615
AMZN,-7,-1,0.001,0.0076,0.0384,0.0126,0.5905,4.0,2.0,0.5,5.0,-0.06,-0.20850000000000002,-0.5615
AMZN,-7,0,0.001,0.0296,0.1572,0.0407,0.5905,4.0,2.0,0.5,5.0,0.04,-0.1882,-0.5615
AMZN,-7,1,0.001,0.0554,0.3098,0.0719,0.5905,4.0,4.0,1.0,5.0,0.15,-0.20550000000000002,-0.5615
AMZN,-7,2,0.001,0.054000000000000006,0.3012,0.0704,0.5905,4.0,3.0,0.75,5.0,0.14,-0.1911,-0.5615
AMZN,-7,3,0.001,0.0917,0.5511,0.11699999999999999,0.5905,4.0,4.0,1.0,5.0,0.28,-0.1882,-0.5615
AMZN,-7,4,0.001,0.1173,0.7415,0.1517,0.5905,4.0,4.0,1.0,5.0,0.38,-0.1882,-0.5615
AMZN,-7,5,0.001,0.1476,0.9915999999999999,0.31980000000000003,0.5905,3.0,3.0,1.0,5.0,0.39,-0.3958,-0.5615
AMZN,-7,6,0.001,0.2167,1.6680000000000001,0.6940999999999999,0.5905,3.0,2.0,0.6667000000000001,5.0,0.56,-0.3958,-0.5615
AMZN,-7,7,0.001,0.2291,1.8067,0.7548999999999999,0.5905,3.0,2.0,0.6667000000000001,5.0,0.59,-0.3958,-0.5615
