symbol,buy_param,sell_param,fee_,CAGR,Accumulated return,Average return,Benchmark return,Number of trades,Number of win,Hit ratio,Investment period,Sharpe ratio,MDD,Benchmark MDD
TSLA,-9,6,0.001,0.0981,0.5972999999999999,0.0704,3.4126,9.0,7.0,0.7778,5.0,0.15,-0.5578,-0.7363
TSLA,-9,7,0.001,0.045599999999999995,0.25,0.0453,3.4126,7.0,5.0,0.7143,5.0,0.05,-0.5511,-0.7363
TSLA,-9,8,0.001,0.0562,0.3144,0.0537,3.4126,7.0,5.0,0.7143,5.0,0.07,-0.5511,-0.7363
TSLA,-9,9,0.001,0.0203,0.106,0.028300000000000002,3.4126,6.0,4.0,0.6667000000000001,5.0,0.0,-0.596,-0.7363
TSLA,-9,10,0.001,0.0788,0.46159999999999995,0.0795,3.4126,6.0,4.0,0.6667000000000001,5.0,0.11,-0.5511,-0.7363
TSLA,-8,-10,0.001,0.35710000000000003,3.6062,0.0702,3.4126,11.0,3.0,0.2727,5.0,0.51,-0.6507999999999999,-0.7363
TSLA,-8,-9,0.001,0.4643,5.7391,0.09570000000000001,3.4126,12.0,3.0,0.25,5.0,0.68,-0.5428000000000001,-0.7363
TSLA,-8,-8,0.001,0.4511,5.441,0.09,3.4126,15.0,4.0,0.2667,5.0,0.67,-0.5686,-0.7363
TSLA,-8,-7,0.001,-0.0863,-0.3635,-0.0208,3.4126,12.0,6.0,0.5,5.0,-0.24,-0.6454000000000001,-0.7363
TSLA,-8,-6,0.001,-0.0418,-0.1924,0.0004,3.4126,12.0,7.0,0.5832999999999999,5.0,-0.14,-0.6454000000000001,-0.7363
TSLA,-8,-5,0.001,-0.0605,-0.2681,-0.0075,3.4126,12.0,7.0,0.5832999999999999,5.0,-0.18,-0.6645,-0.7363
TSLA,-8,-4,0.001,-0.0169,-0.0818,0.013999999999999999,3.4126,12.0,7.0,0.5832999999999999,5.0,-0.08,-0.6397999999999999,-0.7363
TSLA,-8,-3,0.001,-0.050300000000000004,-0.22760000000000002,-0.004699999999999999,3.4126,11.0,7.0,0.6364,5.0,-0.15,-0.6307,-0.7363
TSLA,-8,-2,0.001,-0.0106,-0.051699999999999996,0.0105,3.4126,11.0,7.0,0.6364,5.0,-0.06,-0.6238,-0.7363
TSLA,-8,-1,0.001,-0.0526,-0.2368,-0.0102,3.4126,10.0,6.0,0.6,5.0,-0.15,-0.6391,-0.7363
TSLA,-8,0,0.001,-0.018799999999999997,-0.0908,0.0043,3.4126,10.0,6.0,0.6,5.0,-0.08,-0.6286999999999999,-0.7363
TSLA,-8,1,0.001,0.0144,0.0741,0.0217,3.4126,10.0,6.0,0.6,5.0,-0.01,-0.5922999999999999,-0.7363
TSLA,-8,2,0.001,0.0072,0.036699999999999997,0.018500000000000003,3.4126,10.0,6.0,0.6,5.0,-0.03,-0.5922999999999999,-0.7363
TSLA,-8,3,0.001,0.0352,0.1888,0.036000000000000004,3.4126,10.0,6.0,0.6,5.0,0.03,-0.5922999999999999,-0.7363
TSLA,-8,4,0.001,0.050199999999999995,0.2779,0.0434,3.4126,10.0,6.0,0.6,5.0,0.06,-0.5915,-0.7363
TSLA,-8,5,0.001,0.022000000000000002,0.1149,0.030699999999999998,3.4126,9.0,6.0,0.6667000000000001,5.0,0.0,-0.5915,-0.7363
TSLA,-8,6,0.001,0.0731,0.423,0.0591,3.4126,9.0,6.0,0.6667000000000001,5.0,0.1,-0.5972999999999999,-0.7363
TSLA,-8,7,0.001,0.0227,0.11869999999999999,0.031400000000000004,3.4126,7.0,4.0,0.5714,5.0,0.01,-0.5877,-0.7363
TSLA,-8,8,0.001,0.033,0.1764,0.039599999999999996,3.4126,7.0,4.0,0.5714,5.0,0.02,-0.5803,-0.7363
TSLA,-8,9,0.001,-0.0060999999999999995,-0.0302,0.008,3.4126,6.0,3.0,0.5,5.0,-0.05,-0.6453,-0.7363
TSLA,-8,10,0.001,0.0508,0.2816,0.0581,3.4126,6.0,4.0,0.6667000000000001,5.0,0.06,-0.5947,-0.7363
TSLA,-7,-10,0.001,0.3743,3.9074,0.0909,3.4126,10.0,3.0,0.3,5.0,0.54,-0.6149,-0.7363
TSLA,-7,-9,0.001,0.5019,6.6503,0.13720000000000002,3.4126,10.0,3.0,0.3,5.0,0.75,-0.5477000000000001,-0.7363
