symbol,w_param,buy_param,sell_param,fee_,CAGR,Accumulated return,Average return,Benchmark return,Number of trades,Number of win,Hit ratio,Investment period,Sharpe ratio,MDD,Benchmark MDD
^KS11,7,16,61,0.001,0.10300000000000001,0.63,0.0421,0.4311,12.0,11.0,0.9167000000000001,5.0,0.81,-0.0814,-0.3479
^KS11,7,16,62,0.001,0.08689999999999999,0.5145000000000001,0.038900000000000004,0.4311,11.0,10.0,0.9091,5.0,0.64,-0.0814,-0.3479
^KS11,7,16,63,0.001,0.0889,0.5287,0.0397,0.4311,11.0,10.0,0.9091,5.0,0.66,-0.0814,-0.3479
^KS11,7,16,64,0.001,0.0885,0.5259,0.0395,0.4311,11.0,10.0,0.9091,5.0,0.63,-0.0814,-0.3479
^KS11,7,16,65,0.001,0.0868,0.5139,0.0388,0.4311,11.0,10.0,0.9091,5.0,0.58,-0.0814,-0.3479
^KS11,7,16,66,0.001,0.0733,0.4229,0.0365,0.4311,10.0,8.0,0.8,5.0,0.45,-0.1148,-0.3479
^KS11,7,16,67,0.001,0.0767,0.4451,0.0381,0.4311,10.0,8.0,0.8,5.0,0.48,-0.1148,-0.3479
^KS11,7,16,68,0.001,0.0775,0.4508,0.0385,0.4311,10.0,8.0,0.8,5.0,0.48,-0.1148,-0.3479
^KS11,7,16,69,0.001,0.0364,0.195,0.024,0.4311,8.0,6.0,0.75,5.0,0.13,-0.1955,-0.3479
^KS11,7,16,70,0.001,0.045899999999999996,0.2505,0.03,0.4311,8.0,6.0,0.75,5.0,0.2,-0.1955,-0.3479
^KS11,7,16,71,0.001,0.0271,0.14279999999999998,0.024399999999999998,0.4311,7.0,6.0,0.8571,5.0,0.05,-0.2853,-0.3479
^KS11,7,16,72,0.001,0.0271,0.14279999999999998,0.024399999999999998,0.4311,7.0,6.0,0.8571,5.0,0.05,-0.2853,-0.3479
^KS11,7,16,73,0.001,0.0353,0.1888,0.0301,0.4311,7.0,6.0,0.8571,5.0,0.11,-0.2853,-0.3479
^KS11,7,16,74,0.001,0.0369,0.1977,0.031200000000000002,0.4311,7.0,6.0,0.8571,5.0,0.12,-0.2853,-0.3479
^KS11,7,16,75,0.001,0.04,0.2159,0.0336,0.4311,7.0,6.0,0.8571,5.0,0.14,-0.2853,-0.3479
^KS11,7,16,76,0.001,0.0564,0.3144,0.0455,0.4311,7.0,6.0,0.8571,5.0,0.25,-0.2853,-0.3479
^KS11,7,16,77,0.001,0.058600000000000006,0.3281,0.0472,0.4311,7.0,6.0,0.8571,5.0,0.27,-0.2853,-0.3479
^KS11,7,16,78,0.001,0.0633,0.3575,0.0499,0.4311,7.0,6.0,0.8571,5.0,0.3,-0.2853,-0.3479
