symbol,w_param,buy_param,sell_param,fee_,CAGR,Accumulated return,Average return,Benchmark return,Number of trades,Number of win,Hit ratio,Investment period,Sharpe ratio,MDD,Benchmark MDD
AMZN,7,16,62,0.001,0.049400000000000006,0.2713,0.0636,0.3787,4.0,3.0,0.75,5.0,0.19,-0.1882,-0.5615
AMZN,7,16,63,0.001,0.049400000000000006,0.2713,0.0636,0.3787,4.0,3.0,0.75,5.0,0.19,-0.1882,-0.5615
AMZN,7,16,64,0.001,0.053899999999999997,0.2986,0.0692,0.3787,4.0,3.0,0.75,5.0,0.21,-0.1882,-0.5615
AMZN,7,16,65,0.001,0.053899999999999997,0.2986,0.0692,0.3787,4.0,3.0,0.75,5.0,0.21,-0.1882,-0.5615
AMZN,7,16,66,0.001,0.0484,0.2651,0.061900000000000004,0.3787,4.0,3.0,0.75,5.0,0.16,-0.1882,-0.5615
AMZN,7,16,67,0.001,0.0603,0.3385,0.076,0.3787,4.0,4.0,1.0,5.0,0.23,-0.1882,-0.5615
AMZN,7,16,68,0.001,0.0629,0.3549,0.0794,0.3787,4.0,4.0,1.0,5.0,0.24,-0.1882,-0.5615
AMZN,7,16,69,0.001,0.0683,0.3895,0.0864,0.3787,4.0,4.0,1.0,5.0,0.27,-0.1882,-0.5615
AMZN,7,16,70,0.001,0.075,0.43320000000000003,0.09519999999999999,0.3787,4.0,4.0,1.0,5.0,0.31,-0.1882,-0.5615
AMZN,7,16,71,0.001,0.075,0.43320000000000003,0.09519999999999999,0.3787,4.0,4.0,1.0,5.0,0.31,-0.1882,-0.5615
AMZN,7,16,72,0.001,0.075,0.43320000000000003,0.09519999999999999,0.3787,4.0,4.0,1.0,5.0,0.31,-0.1882,-0.5615
AMZN,7,16,73,0.001,0.07980000000000001,0.4656,0.1016,0.3787,4.0,4.0,1.0,5.0,0.33,-0.1882,-0.5615
AMZN,7,16,74,0.001,0.07980000000000001,0.4656,0.1016,0.3787,4.0,4.0,1.0,5.0,0.33,-0.1882,-0.5615
AMZN,7,16,75,0.001,0.0781,0.4542,0.09910000000000001,0.3787,4.0,4.0,1.0,5.0,0.29,-0.1882,-0.5615
AMZN,7,16,76,0.001,0.0781,0.4542,0.09910000000000001,0.3787,4.0,4.0,1.0,5.0,0.29,-0.1882,-0.5615
AMZN,7,16,77,0.001,0.0867,0.5129,0.1106,0.3787,4.0,4.0,1.0,5.0,0.33,-0.1882,-0.5615
AMZN,7,16,78,0.001,0.09359999999999999,0.5611,0.1188,0.3787,4.0,4.0,1.0,5.0,0.36,-0.1882,-0.5615
AMZN,7,16,79,0.001,0.09359999999999999,0.5611,0.1188,0.3787,4.0,4.0,1.0,5.0,0.36,-0.1882,-0.5615
AMZN,7,16,80,0.001,0.0291,0.1535,0.049400000000000006,0.3787,3.0,2.0,0.6667000000000001,5.0,0.04,-0.3958,-0.5615
AMZN,7,16,81,0.001,0.0318,0.1689,0.054299999999999994,0.3787,3.0,2.0,0.6667000000000001,5.0,0.05,-0.3958,-0.5615
AMZN,7,16,82,0.001,-0.0679,-0.2953,-0.2953,0.3787,1.0,0.0,0.0,5.0,-0.3,-0.5573,-0.5615
AMZN,7,16,83,0.001,-0.0679,-0.2953,-0.2953,0.3787,1.0,0.0,0.0,5.0,-0.3,-0.5573,-0.5615
AMZN,7,16,84,0.001,-0.0679,-0.2953,-0.2953,0.3787,1.0,0.0,0.0,5.0,-0.3,-0.5573,-0.5615
AMZN,7,16,85,0.001,-0.0679,-0.2953,-0.2953,0.3787,1.0,0.0,0.0,5.0,-0.3,-0.5573,-0.5615
AMZN,7,17,55,0.001,0.061500000000000006,0.3458,0.0519,0.3787,6.0,5.0,0.8332999999999999,5.0,0.28,-0.10039999999999999,-0.5615
AMZN,7,17,56,0.001,0.061500000000000006,0.3458,0.0519,0.3787,6.0,5.0,0.8332999999999999,5.0,0.28,-0.10039999999999999,-0.5615
AMZN,7,17,57,0.001,0.0335,0.1783,0.0294,0.3787,6.0,4.0,0.6667000000000001,5.0,0.08,-0.2151,-0.5615
AMZN,7,17,58,0.001,0.0335,0.1783,0.0294,0.3787,6.0,4.0,0.6667000000000001,5.0,0.08,-0.2151,-0.5615
AMZN,7,17,59,0.001,0.0394,0.2122,0.0339,0.3787,6.0,4.0,0.6667000000000001,5.0,0.12,-0.1925,-0.5615
AMZN,7,17,60,0.001,0.051,0.2807,0.0436,0.3787,6.0,4.0,0.6667000000000001,5.0,0.19,-0.1925,-0.5615
AMZN,7,17,61,0.001,0.051399999999999994,0.28309999999999996,0.044000000000000004,0.3787,6.0,4.0,0.6667000000000001,5.0,0.19,-0.1925,-0.5615
